date,yclose-cPOC,yclose_cVAH,yclose_cVAL,yclose_cLVN,cVAH_cPOC,cPOC_cVAL,maxhD5_yclose,yclose_minlD5,close_POC,close_cPOC,close_VAH,close_cVAH,close_VAL,close_cVAL,close_LVN,close_cLVN,dH_maxhD5,dL_minlD5,close_yclose,open_yclose,nextClose_nextOpen,nextClose_close
20170403,-11.57142857,-49.03,-0.045714286,-25.97857143,37.45857143,11.52571429,85.85,15,-59.63,-21.72142857,-68.87,-59.18,-45.77,-10.19571429,-27.29,-36.12857143,-24.9,-4.9,-10.15,-19.85,-25.9,27.15
20170405,10.16428571,-20.05,25.27142857,28.29285714,30.21428571,15.10714286,30.05,75.7,46.24571429,-2.635714286,19.98857143,-32.85,56.74857143,12.47142857,35.95,15.49285714,-32.85,-19,-12.8,-12.9,-25.8,-72.05
20170406,-22.12285714,-41.47714286,3.682857143,-9.22,19.35428571,25.80571429,57,55.9,5.928571429,-38.32285714,-5.514285714,-57.67714286,13.55714286,-12.51714286,14.82857143,-25.42,-61,7.4,-16.2,-20.25,-6,-43.55
20170407,-37.63142857,-69.01285714,-14.80857143,-54.74857143,31.38142857,22.82285714,90,9.85,5.07,-50.28142857,-1.812857143,-81.66285714,8.511428572,-27.45857143,14.24714286,-67.39857143,-87.55,-27.85,-12.65,-7.7,-55.15,-51.1
20170410,-39.09571429,-90.17571429,-28.15,-13.55571429,51.08,10.94571429,103.7,24,-49.05142857,-19.09571429,-52.80714286,-70.17571429,-3.982857143,-8.15,22.30714286,6.444285714,-23.3,-27.05,20,5.1,42.05,-41.2
20170411,-89.21428571,-151.1142857,-75.95,-75.95,61.9,13.26428571,153.75,1,-3.527142857,-90.46428571,-9.292857143,-152.3642857,2.238571428,-77.2,5.121428571,-77.2,-122.95,-18.65,-1.25,-13.2,30.05,48.05
20170412,-20.88,-91.78714286,-1.971428571,-49.24285714,70.90714286,18.90857143,116.95,48.5,-9.457142857,-29.33,-22.16,-100.2371429,-3.811428571,-10.42142857,0.422857143,-57.69285714,-92,24.05,-8.45,-12.1,-50.5,-6.1
20170413,-1.677142857,-31.69714286,58.36285714,-14.54285714,30.02,60.04,83.65,66.45,25.56857143,30.92285714,-1.185714286,0.902857143,72.38857143,90.96285714,75.73285714,18.05714286,-39.1,-6.05,32.6,18,87.9,29.4
20170417,-33.27428571,-42.19714286,11.34,-6.505714286,8.922857143,44.61428571,116.15,40,-30.88714286,-28.92428571,-81.74142857,-37.84714286,-12.93857143,15.69,-57.81,-2.155714286,-12.15,39.3,4.35,6.6,37.3,160.45
20170418,105.84,43.38,119.2242857,87.99428571,62.46,13.38428571,21.65,134.5,-16.42142857,133.39,-44.09,70.93,-8.735714286,146.7742857,-10.27285714,115.5442857,51.3,153.65,27.55,33,29,91.45
